Subject Id,Visit,Study Identifier,Domain Abbreviation,Project Unique Identifier,Cohort,Subject Identification,Death Diagnosis Short Name,Death Diagnosis Name,Result or Findings as Collected,Standardized Result in Character Format,Result Category,Evaluator,Date/Time,Study Day
N150a009,DD,"Xeno Nimo Hypox,FaDu",DD,N150,a,9,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-07-05,212.0
N150a011,DD,"Xeno Nimo Hypox,FaDu",DD,N150,a,11,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-07-05,212.0
N150a012,DD,"Xeno Nimo Hypox,FaDu",DD,N150,a,12,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-07-05,212.0
N150b057,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,57,DEATHD,Death Diagnosis,,,FOUND DEAD,EJ,2012-09-04,217.0
N150b059,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,59,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219.0
N150b081,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,81,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219.0
N150b082,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,82,DEATHD,Death Diagnosis,,,FOUND DEAD,EJ,2012-07-09,160.0
N150b083,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,83,DEATHD,Death Diagnosis,,,MORIBUND SACRIFICE,EJ,2012-06-21,142.0
N150b084,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,84,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219.0
N150b095,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,95,DEATHD,Death Diagnosis,,,INTERIM SACRIFICE,KS,2012-05-14,104.0
N150b096,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,96,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219.0
N150b098,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,98,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219.0
N150b103,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,103,DEATHD,Death Diagnosis,,,INTERIM SACRIFICE,EJ,2012-08-09,191.0
N150b104,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,104,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219.0
N150b110,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,110,DEATHD,Death Diagnosis,,,FOUND DEAD,EJ,2012-08-30,212.0
N150b111,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,111,DEATHD,Death Diagnosis,,,INTERIM SACRIFICE,KS,2012-06-28,149.0
N150b112,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,112,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219.0
N150b115,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,115,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219.0
N150b116,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,116,DEATHD,Death Diagnosis,,,FOUND DEAD,EJ,2012-08-07,189.0
N150b128,DD,"Xeno Nimo Hypox,FaDu",DD,N150,b,128,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219.0
